CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Inflow,Flag Codes,Flags
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2011,2011,45741,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2012,2012,64539,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2013,2013,109580,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2014,2014,173072,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2015,2015,441900,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2016,2016,722364,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2017,2017,198310,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2018,2018,161930,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,DEU,Germany,2019,2019,142510,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2000,2000,3083,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2001,2001,5499,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2002,2002,5664,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2003,2003,8178,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2004,2004,4469,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2005,2005,9050,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2006,2006,12267,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2007,2007,25113,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2008,2008,19884,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2009,2009,15928,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2010,2010,10273,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2011,2011,9311,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2012,2012,9577,,
TOT,Total,B13,Inflows of asylum seekers by nationality,TOT,Total,GRC,Greece,2013,2013,8224,,
